nivel_verificacion,n_bytes,tiempo_total_s,tiempo_total_kem_s,tiempo_total_dss_s,tiempo_total_aes_s,cpu_total,cpu_total_kem,cpu_total_dss,cpu_total_aes,memoria_promedio_kem_kb,memoria_promedio_dss_kb,memoria_promedio_aes_kb
1,1024,0.044864,0.002588,0.000016,0.042261,0.004789,0.003740,0.000016,0.001033,3.000000,4.000000,4.000000
1,1024,0.044322,0.002837,0.000022,0.041462,0.004944,0.003968,0.000022,0.000954,3.000000,4.000000,4.000000
1,1024,0.044316,0.002647,0.000015,0.041654,0.004787,0.003830,0.000015,0.000942,3.000000,4.000000,4.000000
1,1024,0.044366,0.002529,0.000025,0.041813,0.004648,0.003544,0.000024,0.001080,3.000000,4.000000,4.000000
1,1024,0.043844,0.002610,0.000016,0.041218,0.004815,0.003764,0.000016,0.001035,3.000000,4.000000,4.000000
1,1024,0.044262,0.002682,0.000017,0.041563,0.004703,0.003831,0.000017,0.000855,3.000000,4.000000,4.000000
1,1024,0.044043,0.002849,0.000017,0.041178,0.004984,0.004017,0.000017,0.000950,3.000000,4.000000,4.000000
1,1024,0.044304,0.002567,0.000015,0.041722,0.004672,0.003707,0.000015,0.000950,3.000000,4.000000,4.000000
1,1024,0.046167,0.003156,0.000022,0.042990,0.005241,0.004302,0.000022,0.000917,3.000000,4.000000,4.000000
1,1024,0.047877,0.003305,0.000017,0.044554,0.005257,0.004355,0.000017,0.000885,3.000000,4.000000,4.000000
1,1024,0.046439,0.001803,0.000014,0.044621,0.003480,0.002001,0.000014,0.001465,3.000000,4.000000,4.000000
1,1024,0.044241,0.002763,0.000016,0.041462,0.004940,0.003944,0.000016,0.000980,3.000000,4.000000,4.000000
1,1024,0.046629,0.002889,0.000018,0.043722,0.004479,0.003671,0.000018,0.000790,3.000000,4.000000,4.000000
1,1024,0.044383,0.002819,0.000017,0.041548,0.005060,0.004073,0.000016,0.000971,3.000000,4.000000,4.000000
1,1024,0.046332,0.002528,0.000015,0.043789,0.003775,0.002817,0.000016,0.000942,3.000000,4.000000,4.000000
1,1024,0.045783,0.003902,0.000017,0.041864,0.003641,0.002251,0.000017,0.001373,3.000000,4.000000,4.000000
1,1024,0.046229,0.002617,0.000015,0.043597,0.004794,0.003691,0.000092,0.001011,3.000000,4.000000,4.000000
1,1024,0.044448,0.002593,0.000015,0.041840,0.004692,0.003591,0.000015,0.001086,3.000000,4.000000,4.000000
1,1024,0.044454,0.002642,0.000016,0.041796,0.004719,0.003764,0.000016,0.000939,3.000000,4.000000,4.000000
1,1024,0.046311,0.002055,0.000016,0.044240,0.003647,0.002643,0.000016,0.000988,3.000000,4.000000,4.000000
1,1024,0.048224,0.002455,0.000015,0.045753,0.004672,0.003555,0.000016,0.001101,3.000000,4.000000,4.000000
1,1024,0.044088,0.003053,0.000016,0.041019,0.005270,0.004343,0.000016,0.000911,3.000000,4.000000,4.000000
1,1024,0.044241,0.002302,0.000016,0.041924,0.003867,0.002931,0.000015,0.000921,3.000000,4.000000,4.000000
1,1024,0.046365,0.002574,0.000016,0.043776,0.004584,0.003409,0.000016,0.001159,3.000000,4.000000,4.000000
1,1024,0.044424,0.002518,0.000016,0.041890,0.004691,0.003703,0.000016,0.000972,3.000000,4.000000,4.000000
1,1024,0.044363,0.002652,0.000016,0.041696,0.004780,0.003805,0.000015,0.000960,3.000000,4.000000,4.000000
1,1024,0.044782,0.002631,0.000017,0.042134,0.004599,0.003642,0.000018,0.000939,3.000000,4.000000,4.000000
1,1024,0.046735,0.001874,0.000015,0.044847,0.003154,0.001873,0.000015,0.001266,3.000000,4.000000,4.000000
