nivel_verificacion,n_bytes,tiempo_total_s,tiempo_total_kem_s,tiempo_total_dss_s,tiempo_total_aes_s,cpu_total,cpu_total_kem,cpu_total_dss,cpu_total_aes,memoria_promedio_kem_kb,memoria_promedio_dss_kb,memoria_promedio_aes_kb
1,1024,0.046749,0.002350,0.000015,0.044383,0.004392,0.003234,0.000016,0.001142,3.000000,4.000000,4.000000
1,1024,0.046821,0.002857,0.000018,0.043946,0.005129,0.004087,0.000018,0.001024,3.000000,4.000000,4.000000
1,1024,0.056657,0.003923,0.000016,0.052718,0.005213,0.004678,0.000016,0.000519,3.000000,4.000000,4.000000
1,1024,0.048188,0.003782,0.000017,0.044389,0.006009,0.004776,0.000017,0.001216,3.000000,4.000000,4.000000
1,1024,0.044130,0.002757,0.000016,0.041357,0.004925,0.003930,0.000016,0.000979,3.000000,4.000000,4.000000
1,1024,0.045977,0.002840,0.000016,0.043121,0.004807,0.003837,0.000015,0.000955,3.000000,4.000000,4.000000
1,1024,0.053398,0.009015,0.000016,0.044366,0.005384,0.004341,0.000016,0.001027,3.000000,4.000000,4.000000
1,1024,0.047532,0.003142,0.000017,0.044374,0.005211,0.003972,0.000017,0.001222,3.000000,4.000000,4.000000
1,1024,0.044221,0.002625,0.000016,0.041580,0.004869,0.003724,0.000016,0.001129,3.000000,4.000000,4.000000
1,1024,0.047448,0.002844,0.000017,0.044587,0.005094,0.003991,0.000017,0.001086,3.000000,4.000000,4.000000
1,1024,0.043710,0.002753,0.000018,0.040939,0.004935,0.003882,0.000018,0.001035,3.000000,4.000000,4.000000
1,1024,0.045511,0.003392,0.000032,0.042087,0.005665,0.004660,0.000032,0.000973,3.000000,4.000000,4.000000
1,1024,0.051321,0.002610,0.000017,0.048694,0.004856,0.003746,0.000016,0.001094,3.000000,4.000000,4.000000
1,1024,0.045681,0.002534,0.000016,0.043131,0.004945,0.003693,0.000016,0.001236,3.000000,4.000000,4.000000
1,1024,0.043963,0.002627,0.000016,0.041320,0.004766,0.003826,0.000016,0.000924,3.000000,4.000000,4.000000
1,1024,0.046177,0.002586,0.000017,0.043575,0.004844,0.003612,0.000017,0.001215,3.000000,4.000000,4.000000
1,1024,0.045271,0.002825,0.000016,0.042431,0.005085,0.004021,0.000016,0.001048,3.000000,4.000000,4.000000
1,1024,0.047374,0.002693,0.000017,0.044664,0.004932,0.003772,0.000016,0.001144,3.000000,4.000000,4.000000
1,1024,0.046005,0.002598,0.000016,0.043391,0.004757,0.003621,0.000015,0.001121,3.000000,4.000000,4.000000
1,1024,0.048137,0.002732,0.000019,0.045386,0.004780,0.003850,0.000016,0.000914,3.000000,4.000000,4.000000
1,1024,0.043737,0.002703,0.000015,0.041019,0.004899,0.003913,0.000015,0.000971,3.000000,4.000000,4.000000
1,1024,0.044142,0.002713,0.000016,0.041414,0.004752,0.003800,0.000016,0.000936,3.000000,4.000000,4.000000
1,1024,0.044106,0.002843,0.000016,0.041246,0.005019,0.003989,0.000016,0.001014,3.000000,4.000000,4.000000
1,1024,0.046176,0.003954,0.000024,0.042198,0.003885,0.002392,0.000024,0.001469,3.000000,4.000000,4.000000
1,1024,0.043987,0.002830,0.000016,0.041142,0.005043,0.004058,0.000016,0.000969,3.000000,4.000000,4.000000
1,1024,0.044828,0.002145,0.000016,0.042667,0.003763,0.002611,0.000015,0.001137,3.000000,4.000000,4.000000
1,1024,0.047720,0.002642,0.000015,0.045062,0.004949,0.003752,0.000015,0.001182,3.000000,4.000000,4.000000
1,1024,0.047556,0.003479,0.000017,0.044060,0.005438,0.004616,0.000017,0.000805,3.000000,4.000000,4.000000
1,1024,0.047882,0.002983,0.000016,0.044883,0.005141,0.004107,0.000016,0.001018,3.000000,4.000000,4.000000
1,1024,0.047720,0.002850,0.000019,0.044852,0.004942,0.003702,0.000019,0.001221,3.000000,4.000000,4.000000
1,1024,0.047967,0.002923,0.000016,0.045028,0.005025,0.004101,0.000016,0.000908,3.000000,4.000000,4.000000
