nivel_verificacion,n_bytes,tiempo_total_s,tiempo_total_kem_s,tiempo_total_dss_s,tiempo_total_aes_s,cpu_total,cpu_total_kem,cpu_total_dss,cpu_total_aes,memoria_promedio_kem_kb,memoria_promedio_dss_kb,memoria_promedio_aes_kb
1,1024,0.013435,0.011975,0.000004,0.001456,0.013185,0.011774,0.000011,0.001400,2.000000,4.000000,4.000000
1,1024,0.015306,0.013989,0.000005,0.001312,0.014991,0.013742,0.000007,0.001242,2.000000,4.000000,4.000000
1,1024,0.008200,0.007430,0.000002,0.000768,0.008662,0.007958,0.000007,0.000697,2.000000,3.000000,3.000000
1,1024,0.013817,0.012502,0.000004,0.001311,0.014238,0.012959,0.000009,0.001270,2.000000,4.000000,4.000000
1,1024,0.009008,0.008152,0.000003,0.000853,0.009693,0.008912,0.000003,0.000778,2.000000,3.000000,3.000000
1,1024,0.007023,0.006052,0.000003,0.000968,0.007156,0.006469,0.000003,0.000684,2.000000,3.000000,4.000000
1,1024,0.006768,0.006110,0.000002,0.000656,0.006905,0.006350,0.000004,0.000551,2.000000,3.000000,3.000000
1,1024,0.003984,0.003651,0.000004,0.000329,0.004132,0.003810,0.000008,0.000314,2.000000,4.000000,4.000000
1,1024,0.004542,0.004112,0.000001,0.000429,0.004888,0.004495,0.000001,0.000392,2.000000,3.000000,3.000000
1,1024,0.017262,0.015661,0.000004,0.001597,0.013957,0.012482,0.000007,0.001468,2.000000,4.000000,4.000000
1,1024,0.012523,0.011360,0.000004,0.001159,0.013410,0.012228,0.000007,0.001175,2.000000,4.000000,4.000000
1,1024,0.014546,0.013011,0.000005,0.001530,0.014616,0.013252,0.000009,0.001355,3.000000,4.000000,4.000000
1,1024,0.014548,0.013129,0.000005,0.001414,0.014873,0.013542,0.000005,0.001326,2.000000,4.000000,4.000000
1,1024,0.008715,0.007767,0.000003,0.000945,0.009097,0.008260,0.000003,0.000834,2.000000,3.000000,4.000000
