nivel_verificacion,n_bytes,tiempo_total_s,tiempo_total_kem_s,tiempo_total_dss_s,tiempo_total_aes_s,cpu_total,cpu_total_kem,cpu_total_dss,cpu_total_aes,memoria_promedio_kem_kb,memoria_promedio_dss_kb,memoria_promedio_aes_kb
1,1024,0.046774,0.004591,0.000016,0.042167,0.007288,0.006713,0.000016,0.000559,4.000000,5.000000,5.000000
1,1024,0.052595,0.005150,0.000017,0.047428,0.005314,0.004149,0.000017,0.001148,4.000000,4.000000,5.000000
1,1024,0.047738,0.005049,0.000017,0.042672,0.005937,0.005166,0.000016,0.000755,4.000000,5.000000,5.000000
1,1024,0.048023,0.002873,0.000016,0.045134,0.005395,0.004180,0.000015,0.001200,4.000000,4.000000,5.000000
1,1024,0.048204,0.002613,0.000015,0.045576,0.009831,0.005637,0.000015,0.004179,4.000000,5.000000,5.000000
1,1024,0.047725,0.003206,0.000016,0.044503,0.005703,0.004626,0.000016,0.001061,4.000000,5.000000,5.000000
1,1024,0.048031,0.005576,0.000016,0.042439,0.006323,0.005715,0.000016,0.000592,4.000000,5.000000,5.000000
1,1024,0.050781,0.003854,0.000016,0.046911,0.006540,0.005276,0.000016,0.001248,4.000000,5.000000,5.000000
1,1024,0.047511,0.005620,0.000016,0.041875,0.010881,0.009680,0.000016,0.001185,4.000000,5.000000,5.000000
1,1024,0.045848,0.004229,0.000024,0.041595,0.006096,0.005394,0.000024,0.000678,4.000000,5.000000,5.000000
1,1024,0.051975,0.008111,0.000016,0.043849,0.005192,0.004970,0.000017,0.000205,4.000000,5.000000,5.000000
1,1024,0.043956,0.002858,0.000016,0.041083,0.005312,0.004241,0.000016,0.001055,3.000000,4.000000,5.000000
1,1024,0.048013,0.004738,0.000016,0.043258,0.006139,0.005667,0.000016,0.000456,4.000000,5.000000,5.000000
1,1024,0.048143,0.003226,0.000016,0.044901,0.005482,0.004591,0.000016,0.000875,4.000000,5.000000,5.000000
1,1024,0.044166,0.003108,0.000015,0.041043,0.005416,0.004530,0.000015,0.000871,4.000000,5.000000,5.000000
1,1024,0.047989,0.003114,0.000016,0.044860,0.005406,0.004504,0.000016,0.000886,4.000000,5.000000,5.000000
1,1024,0.044417,0.002852,0.000015,0.041550,0.005208,0.004264,0.000015,0.000929,4.000000,5.000000,5.000000
1,1024,0.051758,0.002887,0.000016,0.048855,0.005630,0.004261,0.000016,0.001353,4.000000,5.000000,5.000000
1,1024,0.052076,0.003356,0.000019,0.048701,0.005520,0.004716,0.000018,0.000786,4.000000,5.000000,5.000000
1,1024,0.044213,0.002965,0.000015,0.041232,0.005404,0.004308,0.000015,0.001081,4.000000,5.000000,5.000000
1,1024,0.051975,0.008271,0.000016,0.043688,0.005760,0.005402,0.000016,0.000342,4.000000,5.000000,5.000000
1,1024,0.048098,0.003247,0.000015,0.044836,0.005866,0.004640,0.000015,0.001211,4.000000,5.000000,5.000000
1,1024,0.045926,0.003403,0.000016,0.042507,0.006207,0.004667,0.000016,0.001524,4.000000,5.000000,5.000000
1,1024,0.047947,0.003627,0.000016,0.044303,0.006585,0.004693,0.000016,0.001876,3.000000,4.000000,5.000000
1,1024,0.044176,0.002853,0.000016,0.041306,0.005221,0.004167,0.000016,0.001038,4.000000,5.000000,5.000000
1,1024,0.047935,0.003090,0.000015,0.044830,0.005517,0.004534,0.000016,0.000967,4.000000,5.000000,5.000000
1,1024,0.047548,0.003167,0.000016,0.044365,0.005596,0.004665,0.000016,0.000915,4.000000,5.000000,5.000000
1,1024,0.047927,0.003975,0.000017,0.043936,0.005993,0.005386,0.000017,0.000590,4.000000,5.000000,5.000000
1,1024,0.047995,0.003123,0.000016,0.044856,0.005662,0.004484,0.000016,0.001162,3.000000,5.000000,5.000000
1,1024,0.048041,0.003096,0.000015,0.044930,0.005923,0.004261,0.000015,0.001647,4.000000,5.000000,5.000000
1,1024,0.048118,0.005688,0.000016,0.042413,0.005032,0.004835,0.000015,0.000182,4.000000,5.000000,5.000000
