nivel_verificacion,n_bytes,tiempo_total_s,tiempo_total_kem_s,tiempo_total_dss_s,tiempo_total_aes_s,cpu_total,cpu_total_kem,cpu_total_dss,cpu_total_aes,memoria_promedio_kem_kb,memoria_promedio_dss_kb,memoria_promedio_aes_kb
1,1024,0.046603,0.005393,0.000022,0.041188,0.004070,0.003878,0.000022,0.000170,3.000000,5.000000,5.000000
1,1024,0.057773,0.015422,0.000020,0.042330,0.005318,0.005116,0.000021,0.000181,4.000000,5.000000,5.000000
1,1024,0.055911,0.013037,0.000022,0.042852,0.005021,0.003722,0.000022,0.001277,3.000000,4.000000,5.000000
1,1024,0.075041,0.029870,0.000021,0.045150,0.005501,0.005236,0.000020,0.000245,4.000000,5.000000,5.000000
1,10240,0.048238,0.003283,0.000020,0.044935,0.004489,0.002690,0.000019,0.001780,3.000000,4.000000,5.000000
2,102400,0.052334,0.003714,0.004010,0.044610,0.008980,0.003411,0.003888,0.001681,4.000000,5.000000,5.000000
2,102400,0.048215,0.002928,0.002212,0.043075,0.006945,0.002428,0.002207,0.002310,3.000000,5.000000,5.000000
2,1048576,0.072277,0.003213,0.002475,0.066589,0.028478,0.002649,0.002469,0.023360,3.000000,5.000000,7.000000
3,102400,0.054038,0.004517,0.004779,0.044742,0.010153,0.003441,0.004679,0.002033,3.000000,5.000000,5.000000
