nivel_verificacion,n_bytes,tiempo_total_s,tiempo_total_kem_s,tiempo_total_dss_s,tiempo_total_aes_s,cpu_total,cpu_total_kem,cpu_total_dss,cpu_total_aes,memoria_promedio_kem_kb,memoria_promedio_dss_kb,memoria_promedio_aes_kb
1,1024,0.049985,0.007011,0.000026,0.042949,0.011269,0.009424,0.000025,0.001820,4.000000,5.000000,5.000000
1,1024,0.047261,0.005513,0.000040,0.041708,0.009380,0.007677,0.000040,0.001663,4.000000,5.000000,5.000000
1,1024,0.050718,0.008454,0.000025,0.042239,0.013320,0.011837,0.000024,0.001459,4.000000,5.000000,5.000000
1,1024,0.059415,0.013053,0.000027,0.046335,0.019193,0.015632,0.000027,0.003534,4.000000,5.000000,5.000000
1,1024,0.053371,0.008145,0.000025,0.045201,0.012496,0.010479,0.000025,0.001992,4.000000,5.000000,5.000000
1,1024,0.055051,0.012158,0.000025,0.042868,0.016030,0.014447,0.000025,0.001558,4.000000,5.000000,5.000000
1,1024,0.051528,0.008189,0.000027,0.043313,0.012567,0.010647,0.000027,0.001893,4.000000,5.000000,5.000000
1,1024,0.047528,0.004228,0.000025,0.043275,0.009162,0.006830,0.000024,0.002308,4.000000,5.000000,5.000000
1,1024,0.052830,0.007914,0.000444,0.044472,0.011914,0.009805,0.000444,0.001665,4.000000,5.000000,5.000000
1,1024,0.049771,0.003731,0.000025,0.046015,0.006593,0.005567,0.000025,0.001001,3.000000,5.000000,5.000000
1,1024,0.059447,0.013981,0.000025,0.045441,0.017886,0.016167,0.000025,0.001694,3.000000,5.000000,5.000000
1,1024,0.047431,0.002923,0.000016,0.044493,0.007349,0.003989,0.000015,0.003345,4.000000,5.000000,5.000000
1,1024,0.055024,0.013100,0.000025,0.041899,0.015924,0.014745,0.000026,0.001153,4.000000,5.000000,5.000000
1,1024,0.050693,0.006356,0.000027,0.044310,0.010317,0.008285,0.000026,0.002006,4.000000,5.000000,5.000000
1,1024,0.045237,0.003193,0.000021,0.042023,0.005534,0.003905,0.000020,0.001609,4.000000,4.000000,5.000000
1,1024,0.060454,0.014925,0.000027,0.045502,0.024615,0.021279,0.000027,0.003309,4.000000,5.000000,5.000000
1,1024,0.057503,0.007597,0.000026,0.049879,0.014174,0.009503,0.000026,0.004645,4.000000,5.000000,5.000000
1,1024,0.053321,0.006425,0.000023,0.046873,0.010606,0.007502,0.000023,0.003081,3.000000,4.000000,5.000000
1,1024,0.052238,0.008960,0.000026,0.043252,0.012144,0.010783,0.000027,0.001334,4.000000,5.000000,5.000000
1,1024,0.063690,0.015359,0.000027,0.048304,0.022339,0.017405,0.000026,0.004908,4.000000,5.000000,5.000000
1,1024,0.055359,0.008848,0.000026,0.046484,0.015888,0.012861,0.000026,0.003001,4.000000,5.000000,5.000000
1,1024,0.047174,0.004027,0.000024,0.043123,0.007384,0.006069,0.000023,0.001292,4.000000,5.000000,5.000000
1,1024,0.048171,0.006410,0.000027,0.041734,0.011664,0.010326,0.000096,0.001242,4.000000,5.000000,5.000000
1,1024,0.048168,0.002560,0.000015,0.045592,0.006864,0.003297,0.000016,0.003551,3.000000,4.000000,5.000000
1,1024,0.045772,0.004212,0.000026,0.041534,0.007570,0.006511,0.000026,0.001033,4.000000,5.000000,5.000000
1,1024,0.044576,0.003088,0.000023,0.041464,0.005789,0.004413,0.000023,0.001353,4.000000,4.000000,5.000000
1,1024,0.046258,0.005164,0.000025,0.041069,0.009089,0.007980,0.000025,0.001084,4.000000,5.000000,5.000000
1,1024,0.053808,0.012474,0.000025,0.041309,0.015331,0.013507,0.000025,0.001799,4.000000,5.000000,5.000000
1,1024,0.049157,0.004815,0.000025,0.044317,0.008659,0.007499,0.000026,0.001134,4.000000,5.000000,5.000000
1,1024,0.047425,0.004450,0.000025,0.042950,0.008150,0.006675,0.000025,0.001450,4.000000,5.000000,5.000000
1,1024,0.048873,0.004434,0.000050,0.044389,0.008664,0.006613,0.000033,0.002018,4.000000,5.000000,5.000000
1,1024,0.048596,0.005596,0.000804,0.042196,0.012548,0.008907,0.000770,0.002871,4.000000,5.000000,5.000000
1,1024,0.057095,0.011382,0.000025,0.045688,0.019395,0.014497,0.000024,0.004874,4.000000,5.000000,5.000000
1,1024,0.048909,0.006005,0.000026,0.042877,0.009130,0.008018,0.000027,0.001085,4.000000,5.000000,5.000000
1,1024,0.053908,0.007926,0.000027,0.045956,0.013144,0.010171,0.000027,0.002946,4.000000,5.000000,5.000000
1,1024,0.048221,0.004675,0.000102,0.043444,0.008272,0.006775,0.000101,0.001396,4.000000,5.000000,5.000000
1,1024,0.052666,0.006967,0.000026,0.045674,0.012019,0.009177,0.000026,0.002816,4.000000,5.000000,5.000000
1,1024,0.059604,0.014700,0.000025,0.044879,0.019028,0.017141,0.000025,0.001862,4.000000,5.000000,5.000000
1,1024,0.047524,0.005406,0.000026,0.042092,0.009523,0.007914,0.000026,0.001583,4.000000,5.000000,5.000000
1,1024,0.059867,0.012723,0.000026,0.047118,0.018657,0.014504,0.000026,0.004127,4.000000,5.000000,5.000000
1,1024,0.049852,0.005145,0.000025,0.044682,0.008962,0.007587,0.000025,0.001350,4.000000,5.000000,5.000000
1,1024,0.058104,0.014070,0.000025,0.044008,0.019440,0.018142,0.000024,0.001274,4.000000,5.000000,5.000000
1,1024,0.057451,0.014752,0.000026,0.042674,0.019495,0.016463,0.000026,0.003006,4.000000,5.000000,5.000000
1,1024,0.053203,0.008107,0.000026,0.045071,0.012850,0.010612,0.000026,0.002212,4.000000,5.000000,5.000000
1,1024,0.047999,0.006211,0.000025,0.041764,0.010947,0.009656,0.000025,0.001266,4.000000,5.000000,5.000000
1,1024,0.050287,0.005455,0.000026,0.044807,0.009797,0.007975,0.000026,0.001796,4.000000,5.000000,5.000000
1,1024,0.047905,0.003206,0.000016,0.044683,0.006215,0.004180,0.000016,0.002019,3.000000,4.000000,5.000000
1,1024,0.049537,0.006732,0.000026,0.042779,0.010199,0.008673,0.000026,0.001500,4.000000,5.000000,5.000000
1,1024,0.049617,0.004591,0.000035,0.044990,0.008075,0.006778,0.000035,0.001262,4.000000,5.000000,5.000000
1,1024,0.047331,0.003769,0.000022,0.043540,0.007174,0.004978,0.000021,0.002175,4.000000,5.000000,5.000000
1,1024,0.051091,0.005425,0.000062,0.045604,0.010690,0.008244,0.000062,0.002384,4.000000,5.000000,5.000000
1,1024,0.049478,0.005834,0.000026,0.043618,0.009078,0.008054,0.000025,0.000999,4.000000,5.000000,5.000000
1,1024,0.047911,0.005375,0.000025,0.042511,0.008583,0.007417,0.000024,0.001142,4.000000,5.000000,5.000000
1,1024,0.047275,0.005532,0.000024,0.041719,0.009454,0.007908,0.000023,0.001523,3.000000,5.000000,5.000000
1,1024,0.050230,0.004956,0.000025,0.045248,0.010374,0.007216,0.000024,0.003134,3.000000,5.000000,5.000000
1,1024,0.046286,0.004319,0.000025,0.041942,0.008939,0.006705,0.000025,0.002209,4.000000,5.000000,5.000000
1,1024,0.052647,0.008514,0.000027,0.044105,0.012910,0.011122,0.000027,0.001761,4.000000,5.000000,5.000000
