nivel_verificacion,n_bytes,tiempo_total_s,tiempo_total_kem_s,tiempo_total_dss_s,tiempo_total_aes_s,cpu_total,cpu_total_kem,cpu_total_dss,cpu_total_aes,memoria_promedio_kem_kb,memoria_promedio_dss_kb,memoria_promedio_aes_kb
1,1024,0.046782,0.002538,0.000016,0.044229,0.004689,0.003712,0.000016,0.000961,3.000000,4.000000,4.000000
1,1024,0.044307,0.002601,0.000015,0.041690,0.004760,0.003694,0.000015,0.001051,3.000000,4.000000,4.000000
1,1024,0.048508,0.002606,0.000016,0.045886,0.004650,0.003552,0.000016,0.001082,3.000000,4.000000,4.000000
1,1024,0.044334,0.002687,0.000016,0.041632,0.004839,0.003815,0.000016,0.001008,3.000000,4.000000,4.000000
1,1024,0.044301,0.002984,0.000015,0.041302,0.004936,0.004040,0.000015,0.000881,3.000000,4.000000,4.000000
1,1024,0.046680,0.002476,0.000016,0.044188,0.004803,0.003660,0.000015,0.001128,3.000000,4.000000,4.000000
1,1024,0.044388,0.002825,0.000016,0.041547,0.005000,0.003976,0.000016,0.001008,3.000000,4.000000,4.000000
1,1024,0.046182,0.002728,0.000015,0.043439,0.004920,0.003865,0.000015,0.001040,3.000000,4.000000,4.000000
1,1024,0.044478,0.002769,0.000015,0.041693,0.004897,0.003953,0.000015,0.000929,3.000000,4.000000,4.000000
1,1024,0.043914,0.002192,0.000019,0.041704,0.003410,0.002046,0.000018,0.001346,3.000000,4.000000,4.000000
1,1024,0.046159,0.002703,0.000016,0.043440,0.004808,0.003828,0.000016,0.000964,3.000000,4.000000,4.000000
1,1024,0.044251,0.002566,0.000015,0.041670,0.004602,0.003715,0.000015,0.000872,3.000000,4.000000,4.000000
1,1024,0.046048,0.004065,0.000016,0.041967,0.004951,0.004697,0.000016,0.000238,3.000000,4.000000,4.000000
1,1024,0.046286,0.002744,0.000016,0.043525,0.004884,0.003985,0.000017,0.000882,3.000000,4.000000,4.000000
1,1024,0.046176,0.002126,0.000016,0.044035,0.003684,0.002625,0.000016,0.001043,3.000000,4.000000,4.000000
1,1024,0.048022,0.003193,0.000016,0.044814,0.005150,0.003952,0.000016,0.001182,3.000000,4.000000,4.000000
1,1024,0.048170,0.003034,0.000018,0.045118,0.005210,0.004189,0.000018,0.001003,3.000000,4.000000,4.000000
1,1024,0.046293,0.002853,0.000016,0.043424,0.005032,0.004045,0.000016,0.000971,3.000000,4.000000,4.000000
1,1024,0.047439,0.002743,0.000016,0.044680,0.004818,0.003887,0.000016,0.000915,3.000000,4.000000,4.000000
1,1024,0.044284,0.001957,0.000016,0.042311,0.003551,0.002353,0.000016,0.001182,3.000000,4.000000,4.000000
1,1024,0.045036,0.002729,0.000021,0.042287,0.003902,0.002334,0.000021,0.001547,3.000000,4.000000,4.000000
1,1024,0.044135,0.002860,0.000015,0.041260,0.004928,0.004057,0.000015,0.000856,3.000000,4.000000,4.000000
1,1024,0.044449,0.002645,0.000015,0.041789,0.004737,0.003836,0.000015,0.000886,3.000000,4.000000,4.000000
