nivel_verificacion,n_bytes,tiempo_total_s,tiempo_total_kem_s,tiempo_total_dss_s,tiempo_total_aes_s,cpu_total,cpu_total_kem,cpu_total_dss,cpu_total_aes,memoria_promedio_kem_kb,memoria_promedio_dss_kb,memoria_promedio_aes_kb
1,1024,0.044573,0.002785,0.000015,0.041773,0.004849,0.004049,0.000014,0.000786,3.000000,4.000000,4.000000
1,1024,0.044574,0.002641,0.000016,0.041917,0.004790,0.003876,0.000016,0.000898,3.000000,4.000000,4.000000
1,1024,0.044458,0.002759,0.000016,0.041683,0.004851,0.003942,0.000016,0.000893,3.000000,4.000000,4.000000
1,1024,0.044564,0.002712,0.000016,0.041836,0.004852,0.003956,0.000016,0.000880,3.000000,4.000000,4.000000
1,1024,0.044492,0.002452,0.000016,0.042024,0.004730,0.003730,0.000015,0.000985,3.000000,4.000000,4.000000
1,1024,0.048503,0.002588,0.000015,0.045899,0.004675,0.003785,0.000015,0.000875,3.000000,4.000000,4.000000
1,1024,0.044448,0.002719,0.000015,0.041715,0.004821,0.003990,0.000015,0.000816,3.000000,4.000000,4.000000
1,1024,0.044406,0.002625,0.000016,0.041766,0.004784,0.003749,0.000016,0.001019,3.000000,4.000000,4.000000
1,1024,0.044273,0.002921,0.000016,0.041336,0.005134,0.004198,0.000016,0.000920,3.000000,4.000000,4.000000
1,1024,0.044290,0.002939,0.000016,0.041334,0.005223,0.004241,0.000016,0.000966,3.000000,4.000000,4.000000
1,1024,0.048105,0.003205,0.000016,0.044883,0.005465,0.004491,0.000016,0.000958,3.000000,4.000000,4.000000
1,1024,0.046392,0.002925,0.000023,0.043444,0.005035,0.004166,0.000023,0.000846,3.000000,4.000000,4.000000
1,1024,0.050556,0.002781,0.000016,0.047759,0.004899,0.004002,0.000016,0.000881,3.000000,4.000000,4.000000
1,1024,0.044104,0.002913,0.000017,0.041174,0.004966,0.004141,0.000017,0.000808,3.000000,4.000000,4.000000
1,1024,0.048618,0.002743,0.000016,0.045859,0.004864,0.004019,0.000016,0.000829,3.000000,4.000000,4.000000
1,1024,0.044586,0.002628,0.000015,0.041944,0.004718,0.003884,0.000015,0.000819,3.000000,4.000000,4.000000
1,1024,0.044477,0.002716,0.000016,0.041745,0.004844,0.003956,0.000016,0.000872,3.000000,4.000000,4.000000
1,1024,0.044547,0.002722,0.000015,0.041810,0.004922,0.004035,0.000016,0.000871,3.000000,4.000000,4.000000
1,1024,0.044543,0.002622,0.000016,0.041906,0.004684,0.003756,0.000015,0.000913,3.000000,4.000000,4.000000
1,1024,0.044525,0.002691,0.000015,0.041819,0.004731,0.003891,0.000015,0.000825,3.000000,4.000000,4.000000
1,1024,0.044509,0.002994,0.000016,0.041499,0.005303,0.004274,0.000016,0.001013,3.000000,4.000000,4.000000
1,1024,0.044345,0.002822,0.000016,0.041507,0.004954,0.004110,0.000016,0.000828,3.000000,4.000000,4.000000
1,1024,0.044436,0.002639,0.000016,0.041781,0.004902,0.003840,0.000015,0.001047,3.000000,4.000000,4.000000
1,1024,0.044435,0.002769,0.000015,0.041651,0.004914,0.004072,0.000015,0.000827,3.000000,4.000000,4.000000
1,1024,0.048492,0.002926,0.000016,0.045550,0.004965,0.004044,0.000016,0.000905,3.000000,4.000000,4.000000
1,1024,0.048476,0.002715,0.000015,0.045746,0.004921,0.004012,0.000015,0.000894,3.000000,4.000000,4.000000
1,1024,0.044610,0.002520,0.000016,0.042074,0.004681,0.003740,0.000016,0.000925,3.000000,4.000000,4.000000
1,1024,0.044512,0.002797,0.000015,0.041700,0.004884,0.004013,0.000015,0.000856,3.000000,4.000000,4.000000
1,1024,0.044646,0.002786,0.000015,0.041844,0.004908,0.004062,0.000014,0.000832,3.000000,4.000000,4.000000
1,1024,0.048476,0.002756,0.000015,0.045704,0.004968,0.004071,0.000015,0.000882,3.000000,4.000000,4.000000
1,1024,0.044449,0.002898,0.000015,0.041536,0.004929,0.004147,0.000015,0.000767,3.000000,4.000000,4.000000
1,1024,0.044519,0.002550,0.000015,0.041953,0.004630,0.003777,0.000016,0.000837,3.000000,4.000000,4.000000
1,1024,0.044537,0.002816,0.000019,0.041701,0.004842,0.003985,0.000019,0.000838,3.000000,4.000000,4.000000
