nivel_verificacion,n_bytes,tiempo_total_s,tiempo_total_kem_s,tiempo_total_dss_s,tiempo_total_aes_s,cpu_total,cpu_total_kem,cpu_total_dss,cpu_total_aes,memoria_promedio_kem_kb,memoria_promedio_dss_kb,memoria_promedio_aes_kb
1,1024,0.052321,0.009993,0.000017,0.042311,0.011666,0.011346,0.000016,0.000304,4.000000,5.000000,5.000000
1,1024,0.067310,0.016001,0.000031,0.051278,0.026125,0.017852,0.000031,0.008242,4.000000,5.000000,5.000000
1,1024,0.059240,0.014417,0.000027,0.044796,0.019177,0.017513,0.000026,0.001638,4.000000,5.000000,5.000000
1,1024,0.060311,0.013513,0.000072,0.046726,0.020845,0.015858,0.000072,0.004915,4.000000,5.000000,5.000000
1,1024,0.051549,0.009395,0.000029,0.042124,0.013905,0.012669,0.000030,0.001206,4.000000,5.000000,5.000000
1,1024,0.060787,0.017479,0.000025,0.043283,0.023048,0.021115,0.000024,0.001909,4.000000,5.000000,5.000000
1,1024,0.063016,0.015034,0.000025,0.047957,0.025242,0.017241,0.000025,0.007976,4.000000,5.000000,5.000000
1,1024,0.055783,0.013493,0.000026,0.042264,0.016665,0.015517,0.000025,0.001123,4.000000,5.000000,5.000000
1,1024,0.051988,0.008032,0.000026,0.043931,0.010984,0.009923,0.000025,0.001036,4.000000,5.000000,5.000000
1,1024,0.057623,0.012736,0.000025,0.044863,0.016591,0.014839,0.000025,0.001727,4.000000,5.000000,5.000000
1,1024,0.051783,0.007462,0.000025,0.044296,0.011104,0.009607,0.000025,0.001472,4.000000,5.000000,5.000000
1,1024,0.050203,0.008514,0.000025,0.041663,0.013275,0.011898,0.000025,0.001352,4.000000,5.000000,5.000000
1,1024,0.047967,0.006091,0.000026,0.041850,0.009210,0.008081,0.000026,0.001103,4.000000,5.000000,5.000000
1,1024,0.046712,0.004015,0.000026,0.042670,0.008081,0.006061,0.000026,0.001994,4.000000,5.000000,5.000000
1,1024,0.057432,0.015590,0.000026,0.041815,0.019879,0.018763,0.000027,0.001089,4.000000,5.000000,5.000000
1,1024,0.046976,0.003672,0.000024,0.043280,0.006929,0.004708,0.000024,0.002197,3.000000,4.000000,5.000000
1,1024,0.052036,0.007279,0.000026,0.044731,0.011768,0.009597,0.000027,0.002144,4.000000,5.000000,5.000000
1,1024,0.051683,0.009536,0.000027,0.042121,0.013546,0.012166,0.000027,0.001353,3.000000,5.000000,5.000000
1,1024,0.065730,0.020955,0.000026,0.044749,0.029901,0.026548,0.000026,0.003327,4.000000,5.000000,5.000000
1,1024,0.052154,0.006832,0.000234,0.045089,0.012688,0.009539,0.000233,0.002916,4.000000,5.000000,5.000000
1,1024,0.069535,0.021048,0.000025,0.048462,0.029722,0.023157,0.000025,0.006540,4.000000,5.000000,5.000000
1,1024,0.055021,0.008720,0.000025,0.046276,0.015620,0.012882,0.000025,0.002713,4.000000,5.000000,5.000000
