nivel_verificacion,n_bytes,tiempo_total_s,tiempo_total_kem_s,tiempo_total_dss_s,tiempo_total_aes_s,cpu_total,cpu_total_kem,cpu_total_dss,cpu_total_aes,memoria_promedio_kem_kb,memoria_promedio_dss_kb,memoria_promedio_aes_kb
1,1024,0.048459,0.004445,0.000017,0.043996,0.006868,0.006026,0.000017,0.000825,4.000000,5.000000,5.000000
1,1024,0.047782,0.003635,0.000020,0.044127,0.006411,0.005437,0.000020,0.000954,4.000000,5.000000,5.000000
1,1024,0.046142,0.003360,0.000016,0.042766,0.005995,0.004966,0.000017,0.001012,4.000000,5.000000,5.000000
1,1024,0.047213,0.003829,0.000016,0.043368,0.006485,0.005519,0.000016,0.000950,4.000000,5.000000,5.000000
1,1024,0.046590,0.003319,0.000016,0.043255,0.006297,0.005141,0.000016,0.001140,4.000000,5.000000,5.000000
1,1024,0.045905,0.003548,0.000016,0.042342,0.006075,0.005058,0.000015,0.001002,4.000000,5.000000,5.000000
1,1024,0.048012,0.003180,0.000016,0.044815,0.005313,0.004403,0.000016,0.000894,4.000000,5.000000,5.000000
1,1024,0.045207,0.003802,0.000016,0.041389,0.006171,0.005280,0.000016,0.000875,4.000000,5.000000,5.000000
1,1024,0.048355,0.005799,0.000016,0.042540,0.008383,0.007212,0.000016,0.001155,4.000000,5.000000,5.000000
1,1024,0.047532,0.004750,0.000016,0.042766,0.006973,0.006627,0.000015,0.000331,4.000000,5.000000,5.000000
1,1024,0.046766,0.004397,0.000017,0.042352,0.006768,0.005950,0.000017,0.000801,4.000000,5.000000,5.000000
1,1024,0.047858,0.003571,0.000016,0.044270,0.006086,0.005085,0.000016,0.000985,4.000000,5.000000,5.000000
1,1024,0.045095,0.003847,0.000016,0.041232,0.004974,0.004764,0.000016,0.000194,4.000000,5.000000,5.000000
1,1024,0.047943,0.003193,0.000016,0.044734,0.006019,0.004610,0.000016,0.001393,4.000000,5.000000,5.000000
1,1024,0.044963,0.003876,0.000017,0.041070,0.006143,0.005314,0.000017,0.000812,4.000000,5.000000,5.000000
1,1024,0.051064,0.003932,0.000087,0.047046,0.006820,0.005546,0.000087,0.001187,4.000000,5.000000,5.000000
1,1024,0.047782,0.002869,0.000016,0.044897,0.005760,0.004013,0.000016,0.001731,4.000000,5.000000,5.000000
1,1024,0.049011,0.003802,0.000017,0.045192,0.006994,0.005497,0.000017,0.001480,3.000000,5.000000,5.000000
1,1024,0.051847,0.006633,0.000016,0.045198,0.009071,0.007729,0.000016,0.001326,4.000000,5.000000,5.000000
1,1024,0.044930,0.003448,0.000016,0.041466,0.005948,0.005091,0.000016,0.000841,4.000000,5.000000,5.000000
1,1024,0.049173,0.003719,0.000016,0.045437,0.006972,0.005436,0.000016,0.001520,4.000000,5.000000,5.000000
1,1024,0.047358,0.004220,0.000741,0.042398,0.006856,0.005073,0.000741,0.001042,4.000000,5.000000,5.000000
1,1024,0.047512,0.003428,0.000021,0.044063,0.007571,0.004963,0.000021,0.002587,4.000000,5.000000,5.000000
1,1024,0.047591,0.004991,0.000016,0.042584,0.006284,0.005304,0.000016,0.000964,4.000000,5.000000,5.000000
1,1024,0.048353,0.004113,0.000017,0.044224,0.006912,0.005489,0.000017,0.001406,4.000000,5.000000,5.000000
1,1024,0.048546,0.003497,0.000017,0.045032,0.006338,0.005184,0.000016,0.001138,4.000000,5.000000,5.000000
1,1024,0.047437,0.004885,0.000017,0.042535,0.007660,0.006680,0.000017,0.000963,4.000000,5.000000,5.000000
1,1024,0.046454,0.003603,0.000017,0.042835,0.006477,0.005197,0.000017,0.001263,4.000000,5.000000,5.000000
1,1024,0.045147,0.002617,0.000016,0.042514,0.005233,0.003916,0.000016,0.001301,3.000000,4.000000,5.000000
1,1024,0.051366,0.005032,0.000024,0.046310,0.010028,0.006926,0.000024,0.003078,4.000000,5.000000,5.000000
1,1024,0.045587,0.004477,0.000016,0.041093,0.007082,0.006073,0.000016,0.000993,4.000000,5.000000,5.000000
1,1024,0.047807,0.004111,0.000016,0.043680,0.006842,0.005815,0.000017,0.001010,4.000000,5.000000,5.000000
1,1024,0.051117,0.007743,0.000018,0.043357,0.009476,0.008781,0.000017,0.000678,4.000000,5.000000,5.000000
1,1024,0.050773,0.008465,0.000017,0.042291,0.008714,0.007470,0.000016,0.001228,3.000000,5.000000,5.000000
1,1024,0.047434,0.004428,0.000017,0.042989,0.007165,0.006122,0.000017,0.001026,4.000000,5.000000,5.000000
1,1024,0.049498,0.004617,0.000025,0.044856,0.008012,0.006791,0.000024,0.001197,4.000000,5.000000,5.000000
1,1024,0.046036,0.003663,0.000028,0.042345,0.006265,0.005205,0.000028,0.001032,4.000000,5.000000,5.000000
1,1024,0.050965,0.006158,0.000020,0.044787,0.009874,0.009115,0.000020,0.000739,4.000000,5.000000,5.000000
1,1024,0.046950,0.004046,0.000016,0.042887,0.006675,0.005843,0.000017,0.000815,4.000000,5.000000,5.000000
1,1024,0.048897,0.003518,0.000016,0.045362,0.006404,0.005105,0.000016,0.001283,3.000000,5.000000,5.000000
1,1024,0.047048,0.003371,0.000016,0.043662,0.006174,0.005098,0.000016,0.001060,4.000000,5.000000,5.000000
1,1024,0.049871,0.003887,0.000016,0.045968,0.008555,0.005939,0.000016,0.002600,4.000000,4.000000,5.000000
1,1024,0.047633,0.002992,0.000016,0.044624,0.005638,0.004291,0.000016,0.001331,4.000000,5.000000,5.000000
1,1024,0.049153,0.003569,0.000017,0.045568,0.006232,0.004703,0.000016,0.001513,3.000000,4.000000,5.000000
1,1024,0.047240,0.004109,0.000016,0.043114,0.008603,0.005778,0.000016,0.002809,4.000000,5.000000,5.000000
1,1024,0.046665,0.003553,0.000016,0.043096,0.006102,0.005012,0.000016,0.001074,4.000000,5.000000,5.000000
1,1024,0.051677,0.007661,0.000016,0.044000,0.010744,0.009320,0.000016,0.001408,4.000000,5.000000,5.000000
1,1024,0.047574,0.004044,0.000017,0.043513,0.006592,0.005739,0.000018,0.000835,4.000000,5.000000,5.000000
1,1024,0.047592,0.003170,0.000016,0.044406,0.005760,0.004739,0.000017,0.001004,4.000000,5.000000,5.000000
1,1024,0.047873,0.003202,0.000016,0.044655,0.005839,0.004736,0.000016,0.001087,4.000000,5.000000,5.000000
1,1024,0.048063,0.003125,0.000017,0.044921,0.005649,0.004692,0.000017,0.000940,4.000000,5.000000,5.000000
1,1024,0.047923,0.003606,0.000025,0.044292,0.006557,0.005494,0.000025,0.001038,4.000000,5.000000,5.000000
1,1024,0.047335,0.003375,0.000016,0.043945,0.006183,0.004945,0.000016,0.001222,4.000000,5.000000,5.000000
